movie_id;title;description;release_year;length;rating;language_language_id
1;Account Infrastructure;calculating deposit extranet;1933;52280;G;1
2;pink Soap Designer;Baby Factors Account;1942;83653;NC17;2
3;Handcrafted program;Fish;1904;59851;NC17;3
4;invoice Optional;Savings;2046;3127;NC17;4
5;communities Bacon;backing Markets Dynamic;2010;91851;G;5
6;GB help-desk payment;sticky grid-enabled Representative;2094;45571;G;6
7;Dynamic card Cotton;SQL leading-edge ROI;1974;40152;PG13;7
8;Ergonomic Shoes revolutionary;Architect Throughway;2083;11485;PG13;8
9;compelling;Bedfordshire;1938;31106;NC17;9
10;function backing;Fresh;2055;43916;R;10
