payment_id;amount;timestamp;coupon_id;payment_method;booking_booking_id
1;36635;2022-09-03T07:27:27;Guernsey hacking;core Rustic;1
2;13119;2022-09-03T09:23:12;harness Optimization;back;2
3;44141;2022-09-03T04:08:31;copy Wooden;Infrastructure Accountability tan;3
4;31263;2022-09-02T19:44:10;Keyboard;framework;4
5;248;2022-09-02T20:10:34;bandwidth empower Pre-emptive;redundant Route Gorgeous;5
6;46136;2022-09-03T02:25:27;throughput Nigeria;edge;6
7;19504;2022-09-03T11:07:17;back-end Interactions;Usability indigo;7
8;75478;2022-09-03T06:40:12;whiteboard feed exploit;Music open-source;8
9;58030;2022-09-03T03:51:51;Awesome Metrics Azerbaijan;program withdrawal;9
10;57733;2022-09-03T05:51:34;and;connecting;10
