show_id;date;start_time;end_time;movie_movie_id;screen_screen_id
1;2022-09-03;2022-09-02T22:33:27;2022-09-03T05:04:35;1;1
2;2022-09-03;2022-09-02T18:09:24;2022-09-03T10:25:28;2;2
3;2022-09-03;2022-09-03T00:00:10;2022-09-03T11:26:08;3;3
4;2022-09-02;2022-09-02T14:11:37;2022-09-03T01:22:24;4;4
5;2022-09-03;2022-09-02T17:19:53;2022-09-03T08:10:36;5;5
6;2022-09-03;2022-09-03T01:50:52;2022-09-02T17:12:27;6;6
7;2022-09-03;2022-09-02T13:21:13;2022-09-03T03:39:12;7;7
8;2022-09-03;2022-09-02T15:12:00;2022-09-03T04:29:07;8;8
9;2022-09-02;2022-09-03T06:02:49;2022-09-02T12:29:39;9;9
10;2022-09-03;2022-09-03T09:53:24;2022-09-02T13:37:14;10;10
